,County,Year,State,MME,Deaths
380,MORGAN,2008,IN,31341.832757988857,
381,MORGAN,2009,IN,39086.4293070394,18.0
382,MORGAN,2010,IN,42488.94380250155,15.0
383,MORGAN,2011,IN,42627.79822545137,
384,MORGAN,2012,IN,42673.28225636347,23.0
385,NEWTON,2006,IN,944.4572970000028,
386,NEWTON,2007,IN,1321.9604250000032,
387,NEWTON,2008,IN,1027.7557500000028,
388,NEWTON,2009,IN,981.8140875000015,
389,NEWTON,2010,IN,948.4087500000009,
390,NEWTON,2011,IN,1165.9942500000022,
391,NEWTON,2012,IN,1233.7983300000012,
392,NOBLE,2006,IN,5710.29714200006,
393,NOBLE,2007,IN,6943.522069500102,
394,NOBLE,2008,IN,8238.83810250012,
395,NOBLE,2009,IN,8888.291212500124,
396,NOBLE,2010,IN,11034.979650000143,
397,NOBLE,2011,IN,13032.541725000157,
398,NOBLE,2012,IN,15321.793537500136,
399,OHIO,2006,IN,1771.5048225000005,
400,OHIO,2007,IN,1650.4237500000033,
401,OHIO,2008,IN,1611.3500625000052,
402,OHIO,2009,IN,743.2146000000016,
403,OHIO,2011,IN,1003.7626500000003,
404,OHIO,2012,IN,1933.9897125000064,
405,ORANGE,2006,IN,3696.447511999997,
406,ORANGE,2007,IN,5723.867988500052,
407,ORANGE,2008,IN,7519.373767725056,
408,ORANGE,2009,IN,8511.306082725065,
409,ORANGE,2010,IN,9296.213377950111,
410,ORANGE,2011,IN,10704.359719312624,
411,ORANGE,2012,IN,10562.6513970376,
412,OWEN,2006,IN,4334.777689999992,
413,OWEN,2007,IN,5070.026651500011,
414,OWEN,2008,IN,5230.990845000026,
415,OWEN,2009,IN,5883.54094500003,
416,OWEN,2010,IN,6285.058260000042,
417,OWEN,2011,IN,6654.203385000071,
418,OWEN,2012,IN,7258.687530000082,
419,PARKE,2006,IN,1766.1054785000026,
420,PARKE,2007,IN,2692.1317125000037,
421,PARKE,2008,IN,2644.1530410000037,
422,PARKE,2009,IN,2348.8862025000035,
423,PARKE,2010,IN,2787.8885702250104,
424,PARKE,2011,IN,3026.2275490875068,
425,PARKE,2012,IN,3358.4837175000125,
426,PERRY,2006,IN,3144.3703410000016,
427,PERRY,2007,IN,4422.383686000003,
428,PERRY,2008,IN,5488.1136800000395,
429,PERRY,2009,IN,5913.335235000036,
430,PERRY,2010,IN,6612.367275000046,
431,PERRY,2011,IN,6762.346342500075,
432,PERRY,2012,IN,6554.053955662566,
433,PIKE,2006,IN,2605.771250000006,
434,PIKE,2007,IN,3809.0045305000026,
435,PIKE,2008,IN,3879.551434499999,
436,PIKE,2009,IN,4384.974667500006,
437,PIKE,2010,IN,5018.692635675015,
438,PIKE,2011,IN,5727.801000000018,
439,PIKE,2012,IN,4927.618642500002,
440,PORTER,2006,IN,29683.74600712679,17.0
441,PORTER,2007,IN,36001.663887102826,11.0
442,PORTER,2008,IN,40770.47633745301,23.0
