,County,Year,State,MME,Deaths
398,MARION,2006,IL,6658.366281500065,
399,MARION,2007,IL,8238.71879700014,
400,MARION,2008,IL,8718.19070400016,
401,MARION,2009,IL,9420.289350000116,
402,MARION,2010,IL,9678.364282500152,10.0
403,MARION,2011,IL,10795.242870225202,
404,MARION,2012,IL,11553.385578862704,
405,MARSHALL,2006,IL,1580.3646225000007,
406,MARSHALL,2007,IL,1841.9103855000037,
407,MARSHALL,2008,IL,1413.1890570000019,
408,MARSHALL,2009,IL,1429.6534650000037,
409,MARSHALL,2010,IL,1942.6627875,
410,MARSHALL,2011,IL,2526.359827500013,
411,MARSHALL,2012,IL,2617.3213275000176,
412,MASON,2006,IL,1846.6988565000026,
413,MASON,2007,IL,2615.4851385000034,
414,MASON,2008,IL,2375.297218500008,
415,MASON,2009,IL,2520.986452500009,
416,MASON,2010,IL,2828.6607600000098,
417,MASON,2011,IL,3358.7394300000115,
418,MASON,2012,IL,3579.5160000000055,
419,MASSAC,2006,IL,3883.171038500011,
420,MASSAC,2007,IL,4862.517517500044,
421,MASSAC,2008,IL,5397.311816362548,
422,MASSAC,2009,IL,5954.015988862565,
423,MASSAC,2010,IL,6246.869877712593,
424,MASSAC,2011,IL,7634.624787712629,
425,MASSAC,2012,IL,7687.193836125073,
426,MCDONOUGH,2006,IL,4122.770474999973,
427,MCDONOUGH,2007,IL,4247.126587724981,
428,MCDONOUGH,2008,IL,3924.2710177124914,
429,MCDONOUGH,2009,IL,4304.408784300002,
430,MCDONOUGH,2010,IL,4595.976806362525,
431,MCDONOUGH,2011,IL,4970.176575000035,
432,MCDONOUGH,2012,IL,5577.8089650000575,
433,MCHENRY,2006,IL,35460.042033002945,18.0
434,MCHENRY,2007,IL,35098.579401502895,16.0
435,MCHENRY,2008,IL,35930.666752502766,26.0
436,MCHENRY,2009,IL,39838.67837411535,31.0
437,MCHENRY,2010,IL,49837.51549500476,32.0
438,MCHENRY,2011,IL,55235.37523886701,27.0
439,MCHENRY,2012,IL,64319.0043955544,40.0
440,MCLEAN,2006,IL,11193.522677950317,
441,MCLEAN,2007,IL,11315.917744812887,13.0
442,MCLEAN,2008,IL,12415.55608331296,15.0
443,MCLEAN,2009,IL,13984.015487475499,19.0
444,MCLEAN,2010,IL,17021.85470816316,12.0
445,MCLEAN,2011,IL,19239.62898588816,10.0
446,MCLEAN,2012,IL,21211.621067925815,24.0
447,MENARD,2006,IL,1020.1929360000019,
448,MENARD,2007,IL,866.3586150000016,
449,MENARD,2008,IL,906.4678440000001,
450,MENARD,2009,IL,752.4904538625004,
451,MENARD,2010,IL,784.8108975000008,
452,MENARD,2011,IL,1044.4026450000022,
453,MENARD,2012,IL,1278.9671550000019,
454,MERCER,2006,IL,814.8617625000044,
455,MERCER,2007,IL,880.6417275000069,
456,MERCER,2008,IL,1024.5293325000086,
457,MERCER,2009,IL,1134.299925000006,
458,MERCER,2010,IL,1086.221662500006,
459,MERCER,2011,IL,1135.5209775000067,
460,MERCER,2012,IL,1256.5408575000072,
461,MONROE,2006,IL,4384.505541500004,
462,MONROE,2007,IL,4736.840971500029,
463,MONROE,2008,IL,5431.062278000069,
464,MONROE,2009,IL,6824.752586812561,
465,MONROE,2010,IL,7568.414538862611,
466,MONROE,2011,IL,8401.962660900137,
467,MONROE,2012,IL,8849.21361772512,
468,MONTGOMERY,2006,IL,4422.502233000017,
469,MONTGOMERY,2007,IL,5315.627610000077,
470,MONTGOMERY,2008,IL,6277.7143995001325,
471,MONTGOMERY,2009,IL,7196.692605000163,
472,MONTGOMERY,2010,IL,7765.033482937726,
473,MONTGOMERY,2011,IL,8808.474736800224,
474,MONTGOMERY,2012,IL,9452.964193612695,
475,MORGAN,2006,IL,5772.024750000044,
476,MORGAN,2007,IL,6583.291374000076,
477,MORGAN,2008,IL,6736.439772000081,
478,MORGAN,2009,IL,7453.510125000123,
479,MORGAN,2010,IL,9230.43364226266,
480,MORGAN,2011,IL,9977.319949087632,
481,MORGAN,2012,IL,10293.928734525105,
482,MOULTRIE,2006,IL,1139.2136805000043,
483,MOULTRIE,2007,IL,1593.4252935000045,
484,MOULTRIE,2008,IL,1852.6558155000039,
485,MOULTRIE,2009,IL,2493.355680000004,
486,MOULTRIE,2010,IL,2639.462302500007,
487,MOULTRIE,2011,IL,2597.752155000006,
488,MOULTRIE,2012,IL,2618.3475075000047,
489,OGLE,2006,IL,4862.201037500043,
490,OGLE,2007,IL,5422.238933362576,
491,OGLE,2008,IL,5609.12099550011,
492,OGLE,2009,IL,6115.769137500143,
493,OGLE,2010,IL,6142.19857500018,
494,OGLE,2011,IL,6663.556327500192,
495,OGLE,2012,IL,7297.728397725174,
496,PEORIA,2006,IL,29757.758799314062,14.0
497,PEORIA,2007,IL,31865.900412089286,11.0
498,PEORIA,2008,IL,31216.374095364135,18.0
499,PEORIA,2009,IL,33515.03294703937,22.0
500,PEORIA,2010,IL,36729.79645725248,17.0
501,PEORIA,2011,IL,40222.40983837809,30.0
502,PEORIA,2012,IL,41579.0390116531,23.0
503,PERRY,2006,IL,4000.9112288624915,
504,PERRY,2007,IL,4382.703187725008,
505,PERRY,2008,IL,4830.658462500041,
506,PERRY,2009,IL,4772.118787500029,
507,PERRY,2010,IL,5411.974252500053,
508,PERRY,2011,IL,6042.447420000066,
509,PERRY,2012,IL,6480.792210000057,
510,PIATT,2006,IL,1243.9738725000034,
511,PIATT,2007,IL,1623.9521025000067,
512,PIATT,2008,IL,2006.7262800000094,
513,PIATT,2009,IL,2096.2158975000084,
514,PIATT,2010,IL,2086.379925000005,
515,PIATT,2011,IL,2535.275662500016,
516,PIATT,2012,IL,2515.761187500024,
517,PIKE,2006,IL,2040.1828470000096,
518,PIKE,2007,IL,2238.296625000005,
519,PIKE,2008,IL,2523.6592093124946,
520,PIKE,2009,IL,2824.8192265874923,
521,PIKE,2010,IL,3103.4290499999847,
522,PIKE,2011,IL,3325.253257499996,
523,PIKE,2012,IL,3475.5140250000068,
524,POPE,2006,IL,614.1076499999998,
525,POPE,2007,IL,749.5164375000007,
526,POPE,2008,IL,604.5181124999998,
527,POPE,2009,IL,612.0679499999991,
528,POPE,2010,IL,800.5564875000024,
529,POPE,2011,IL,635.0308125000004,
530,POPE,2012,IL,734.8266825000002,
531,PULASKI,2006,IL,747.6806225000007,
532,PULASKI,2007,IL,954.2677875000023,
533,PULASKI,2008,IL,987.2663625000027,
534,PULASKI,2009,IL,1473.5758875000065,
535,PULASKI,2010,IL,1734.4808700000071,
536,PULASKI,2011,IL,1923.8473425000104,
537,PULASKI,2012,IL,2036.8490325000143,
538,PUTNAM,2006,IL,582.6881219999998,
539,PUTNAM,2007,IL,615.9276149999996,
540,PUTNAM,2008,IL,552.4521299999998,
541,PUTNAM,2009,IL,530.5589624999993,
542,PUTNAM,2010,IL,468.76676249999895,
543,PUTNAM,2011,IL,533.1052649999991,
544,PUTNAM,2012,IL,640.0115999999996,
545,RANDOLPH,2006,IL,5966.226268500059,
546,RANDOLPH,2007,IL,7540.450737225104,
547,RANDOLPH,2008,IL,8128.932957262632,
548,RANDOLPH,2009,IL,8339.223292500126,
549,RANDOLPH,2010,IL,8951.123287500195,
550,RANDOLPH,2011,IL,10201.134960000261,
551,RANDOLPH,2012,IL,10225.775212500159,
552,RICHLAND,2006,IL,3765.7831094999956,
553,RICHLAND,2007,IL,4143.456223499994,
554,RICHLAND,2008,IL,4623.150619500009,
555,RICHLAND,2009,IL,4708.96172250001,
556,RICHLAND,2010,IL,4701.514777500014,
557,RICHLAND,2011,IL,4911.099240000035,
558,RICHLAND,2012,IL,5359.051860000072,
559,ROCK ISLAND,2006,IL,13784.432860499843,
560,ROCK ISLAND,2007,IL,13865.876019362473,
561,ROCK ISLAND,2008,IL,15435.237039862568,11.0
562,ROCK ISLAND,2009,IL,17428.776622500252,11.0
563,ROCK ISLAND,2010,IL,19669.34929500059,
564,ROCK ISLAND,2011,IL,20612.698533863255,13.0
565,ROCK ISLAND,2012,IL,21923.620177725872,10.0
566,SAINT CLAIR,2006,IL,34480.985683402425,
567,SAINT CLAIR,2007,IL,38173.84869244047,
568,SAINT CLAIR,2008,IL,42679.667266316195,
569,SAINT CLAIR,2009,IL,47742.29963272912,
570,SAINT CLAIR,2010,IL,53373.237300454995,
571,SAINT CLAIR,2011,IL,60638.63669318126,
572,SAINT CLAIR,2012,IL,64257.38038950554,
573,SALINE,2006,IL,11725.88699772519,
574,SALINE,2007,IL,11874.290098862755,
575,SALINE,2008,IL,12251.864008362727,
576,SALINE,2009,IL,12883.539937725192,
577,SALINE,2010,IL,13937.12130750027,
578,SALINE,2011,IL,16174.20616908773,
579,SALINE,2012,IL,16404.448014975278,
