,County,Deaths,MME,State,Year,County Code,Population
334,BRADFORD,0,26551.078983862728,FL,2010,12007,27049
335,BRADFORD,0,26551.078983862728,FL,2010,12007,26803
336,BRADFORD,0,26551.078983862728,FL,2010,12007,26553
337,BRADFORD,0,26551.078983862728,FL,2010,12007,26743
338,BRADFORD,0,21271.09919250028,FL,2011,12007,486331
339,BRADFORD,0,21271.09919250028,FL,2011,12007,493327
340,BRADFORD,0,21271.09919250028,FL,2011,12007,500323
341,BRADFORD,0,21271.09919250028,FL,2011,12007,507319
342,BRADFORD,0,21271.09919250028,FL,2011,12007,514316
343,BRADFORD,0,21271.09919250028,FL,2011,12007,521312
344,BRADFORD,0,21271.09919250028,FL,2011,12007,528308
345,BRADFORD,0,21271.09919250028,FL,2011,12007,28536
346,BRADFORD,0,21271.09919250028,FL,2011,12007,28432
347,BRADFORD,0,21271.09919250028,FL,2011,12007,27049
348,BRADFORD,0,21271.09919250028,FL,2011,12007,26803
349,BRADFORD,0,21271.09919250028,FL,2011,12007,26553
350,BRADFORD,0,21271.09919250028,FL,2011,12007,26743
351,BRADFORD,0,16872.471022500224,FL,2012,12007,486331
352,BRADFORD,0,16872.471022500224,FL,2012,12007,493327
353,BRADFORD,0,16872.471022500224,FL,2012,12007,500323
354,BRADFORD,0,16872.471022500224,FL,2012,12007,507319
355,BRADFORD,0,16872.471022500224,FL,2012,12007,514316
356,BRADFORD,0,16872.471022500224,FL,2012,12007,521312
357,BRADFORD,0,16872.471022500224,FL,2012,12007,528308
358,BRADFORD,0,16872.471022500224,FL,2012,12007,28536
359,BRADFORD,0,16872.471022500224,FL,2012,12007,28432
360,BRADFORD,0,16872.471022500224,FL,2012,12007,27049
361,BRADFORD,0,16872.471022500224,FL,2012,12007,26803
362,BRADFORD,0,16872.471022500224,FL,2012,12007,26553
363,BRADFORD,0,16872.471022500224,FL,2012,12007,26743
364,BREVARD,98,201186.1534030964,FL,2006,12009,1588046
365,BREVARD,98,201186.1534030964,FL,2006,12009,1612740
366,BREVARD,98,201186.1534030964,FL,2006,12009,1637433
367,BREVARD,98,201186.1534030964,FL,2006,12009,1662127
368,BREVARD,98,201186.1534030964,FL,2006,12009,1686821
369,BREVARD,98,201186.1534030964,FL,2006,12009,1711514
370,BREVARD,98,201186.1534030964,FL,2006,12009,1736208
371,BREVARD,98,201186.1534030964,FL,2006,12009,543972
372,BREVARD,98,201186.1534030964,FL,2006,12009,544319
373,BREVARD,98,201186.1534030964,FL,2006,12009,546978
374,BREVARD,98,201186.1534030964,FL,2006,12009,550290
375,BREVARD,98,201186.1534030964,FL,2006,12009,555598
376,BREVARD,98,201186.1534030964,FL,2006,12009,565992
377,BREVARD,86,246505.6839382635,FL,2007,12009,1588046
378,BREVARD,86,246505.6839382635,FL,2007,12009,1612740
379,BREVARD,86,246505.6839382635,FL,2007,12009,1637433
380,BREVARD,86,246505.6839382635,FL,2007,12009,1662127
381,BREVARD,86,246505.6839382635,FL,2007,12009,1686821
382,BREVARD,86,246505.6839382635,FL,2007,12009,1711514
383,BREVARD,86,246505.6839382635,FL,2007,12009,1736208
384,BREVARD,86,246505.6839382635,FL,2007,12009,543972
385,BREVARD,86,246505.6839382635,FL,2007,12009,544319
386,BREVARD,86,246505.6839382635,FL,2007,12009,546978
387,BREVARD,86,246505.6839382635,FL,2007,12009,550290
388,BREVARD,86,246505.6839382635,FL,2007,12009,555598
389,BREVARD,86,246505.6839382635,FL,2007,12009,565992
390,BREVARD,121,317947.5992638272,FL,2008,12009,1588046
391,BREVARD,121,317947.5992638272,FL,2008,12009,1612740
392,BREVARD,121,317947.5992638272,FL,2008,12009,1637433
393,BREVARD,121,317947.5992638272,FL,2008,12009,1662127
394,BREVARD,121,317947.5992638272,FL,2008,12009,1686821
395,BREVARD,121,317947.5992638272,FL,2008,12009,1711514
396,BREVARD,121,317947.5992638272,FL,2008,12009,1736208
397,BREVARD,121,317947.5992638272,FL,2008,12009,543972
398,BREVARD,121,317947.5992638272,FL,2008,12009,544319
399,BREVARD,121,317947.5992638272,FL,2008,12009,546978
400,BREVARD,121,317947.5992638272,FL,2008,12009,550290
401,BREVARD,121,317947.5992638272,FL,2008,12009,555598
402,BREVARD,121,317947.5992638272,FL,2008,12009,565992
403,BREVARD,135,365366.2497193953,FL,2009,12009,1588046
404,BREVARD,135,365366.2497193953,FL,2009,12009,1612740
405,BREVARD,135,365366.2497193953,FL,2009,12009,1637433
406,BREVARD,135,365366.2497193953,FL,2009,12009,1662127
407,BREVARD,135,365366.2497193953,FL,2009,12009,1686821
408,BREVARD,135,365366.2497193953,FL,2009,12009,1711514
409,BREVARD,135,365366.2497193953,FL,2009,12009,1736208
410,BREVARD,135,365366.2497193953,FL,2009,12009,543972
411,BREVARD,135,365366.2497193953,FL,2009,12009,544319
412,BREVARD,135,365366.2497193953,FL,2009,12009,546978
413,BREVARD,135,365366.2497193953,FL,2009,12009,550290
414,BREVARD,135,365366.2497193953,FL,2009,12009,555598
415,BREVARD,135,365366.2497193953,FL,2009,12009,565992
416,BREVARD,135,508840.976494513,FL,2010,12009,1588046
417,BREVARD,135,508840.976494513,FL,2010,12009,1612740
418,BREVARD,135,508840.976494513,FL,2010,12009,1637433
419,BREVARD,135,508840.976494513,FL,2010,12009,1662127
420,BREVARD,135,508840.976494513,FL,2010,12009,1686821
421,BREVARD,135,508840.976494513,FL,2010,12009,1711514
422,BREVARD,135,508840.976494513,FL,2010,12009,1736208
423,BREVARD,135,508840.976494513,FL,2010,12009,543972
424,BREVARD,135,508840.976494513,FL,2010,12009,544319
425,BREVARD,135,508840.976494513,FL,2010,12009,546978
426,BREVARD,135,508840.976494513,FL,2010,12009,550290
427,BREVARD,135,508840.976494513,FL,2010,12009,555598
428,BREVARD,135,508840.976494513,FL,2010,12009,565992
429,BREVARD,123,481720.14990380843,FL,2011,12009,1588046
430,BREVARD,123,481720.14990380843,FL,2011,12009,1612740
431,BREVARD,123,481720.14990380843,FL,2011,12009,1637433
432,BREVARD,123,481720.14990380843,FL,2011,12009,1662127
433,BREVARD,123,481720.14990380843,FL,2011,12009,1686821
434,BREVARD,123,481720.14990380843,FL,2011,12009,1711514
435,BREVARD,123,481720.14990380843,FL,2011,12009,1736208
436,BREVARD,123,481720.14990380843,FL,2011,12009,543972
437,BREVARD,123,481720.14990380843,FL,2011,12009,544319
438,BREVARD,123,481720.14990380843,FL,2011,12009,546978
439,BREVARD,123,481720.14990380843,FL,2011,12009,550290
440,BREVARD,123,481720.14990380843,FL,2011,12009,555598
441,BREVARD,123,481720.14990380843,FL,2011,12009,565992
442,BREVARD,113,363107.37734239077,FL,2012,12009,1588046
443,BREVARD,113,363107.37734239077,FL,2012,12009,1612740
444,BREVARD,113,363107.37734239077,FL,2012,12009,1637433
445,BREVARD,113,363107.37734239077,FL,2012,12009,1662127
446,BREVARD,113,363107.37734239077,FL,2012,12009,1686821
447,BREVARD,113,363107.37734239077,FL,2012,12009,1711514
448,BREVARD,113,363107.37734239077,FL,2012,12009,1736208
449,BREVARD,113,363107.37734239077,FL,2012,12009,543972
450,BREVARD,113,363107.37734239077,FL,2012,12009,544319
451,BREVARD,113,363107.37734239077,FL,2012,12009,546978
452,BREVARD,113,363107.37734239077,FL,2012,12009,550290
453,BREVARD,113,363107.37734239077,FL,2012,12009,555598
454,BREVARD,113,363107.37734239077,FL,2012,12009,565992
455,BROWARD,249,1222607.3896553786,FL,2006,12011,14882
456,BROWARD,249,1222607.3896553786,FL,2006,12011,14851
457,BROWARD,249,1222607.3896553786,FL,2006,12011,14819
458,BROWARD,249,1222607.3896553786,FL,2006,12011,14788
459,BROWARD,249,1222607.3896553786,FL,2006,12011,14756
460,BROWARD,249,1222607.3896553786,FL,2006,12011,14725
461,BROWARD,249,1222607.3896553786,FL,2006,12011,14693
462,BROWARD,249,1222607.3896553786,FL,2006,12011,1752834
463,BROWARD,249,1222607.3896553786,FL,2006,12011,1786955
